id,true,ours,bracol,n_det,multi_lesion,agree
822,Miner,Miner,Miner,4,True,1
361,Phoma,Phoma,Phoma,2,False,1
781,Healthy,Healthy,Healthy,0,False,1
1522,Rust,Rust,Rust,25,False,1
704,Miner,Miner,Rust,1,False,0
989,Healthy,Healthy,Healthy,0,False,1
1108,Miner,Miner,Miner,1,False,1
1601,Cercospora,Rust,Cercospora,1,False,0
844,Miner,Miner,Phoma,2,False,0
1535,Rust,Rust,Rust,3,False,1
455,Phoma,Phoma,Phoma,1,False,1
1107,Miner,Miner,Phoma,4,False,0
522,Rust,Rust,Rust,9,False,1
168,Rust,Rust,Rust,19,False,1
26,Miner,Miner,Miner,3,True,1
698,Miner,Miner,Phoma,7,True,0
1315,Rust,Rust,Rust,13,False,1
1393,Cercospora,Rust,Rust,3,True,1
642,Healthy,Healthy,Healthy,0,False,1
1351,Miner,Rust,Phoma,2,True,0
909,Healthy,Healthy,Healthy,0,False,1
24,Miner,Miner,Miner,3,False,1
731,Miner,Miner,Phoma,1,False,0
1306,Rust,Rust,Rust,14,False,1
174,Healthy,Healthy,Healthy,0,False,1
643,Healthy,Healthy,Healthy,0,False,1
645,Phoma,Miner,Phoma,1,False,0
1526,Rust,Rust,Rust,2,False,1
1382,Rust,Rust,Rust,11,False,1
1491,Rust,Cercospora,Rust,5,False,0
1230,Healthy,Healthy,Healthy,0,False,1
935,Healthy,Healthy,Healthy,0,False,1
962,Healthy,Healthy,Healthy,0,False,1
676,Miner,Phoma,Miner,6,True,0
1179,Phoma,Phoma,Phoma,1,False,1
408,Phoma,Phoma,Phoma,1,False,1
462,Phoma,Phoma,Phoma,1,False,1
1465,Rust,Rust,Phoma,5,True,0
1460,Rust,Cercospora,Rust,10,False,0
137,Miner,Miner,Phoma,2,False,0
1299,Rust,Rust,Rust,11,True,1
1484,Cercospora,Rust,Phoma,2,False,0
73,Miner,Miner,Miner,1,False,1
322,Phoma,Phoma,Phoma,4,False,1
574,Phoma,Phoma,Phoma,1,False,1
1290,Rust,Rust,Rust,8,False,1
1425,Rust,Rust,Rust,17,False,1
839,Miner,Miner,Miner,2,True,1
769,Rust,Rust,Rust,4,False,1
1685,Healthy,Healthy,Healthy,0,False,1
1210,Miner,Miner,Phoma,1,False,0
993,Healthy,Healthy,Healthy,0,False,1
95,Rust,Rust,Rust,13,True,1
602,Healthy,Healthy,Healthy,0,False,1
343,Phoma,Phoma,Phoma,2,False,1
1682,Rust,Cercospora,Rust,3,False,0
912,Rust,Miner,Rust,14,True,0
374,Phoma,Phoma,Phoma,1,False,1
42,Miner,Miner,Miner,2,False,1
1424,Rust,Rust,Rust,19,False,1
208,Healthy,Healthy,Healthy,0,False,1
567,Cercospora,Phoma,Phoma,1,False,1
1417,Cercospora,Cercospora,Cercospora,2,False,1
1309,Rust,Cercospora,Rust,11,True,0
143,Rust,Rust,Rust,32,False,1
1313,Cercospora,Cercospora,Cercospora,1,False,1
15,Healthy,Healthy,Healthy,0,False,1
755,Miner,Miner,Miner,2,True,1
297,Phoma,Phoma,Phoma,3,False,1
1582,Cercospora,Cercospora,Phoma,2,False,0
825,Healthy,Healthy,Healthy,0,False,1
573,Healthy,Healthy,Healthy,0,False,1
1432,Rust,Rust,Rust,12,False,1
1747,Rust,Rust,Rust,14,True,1
99,Rust,Rust,Rust,25,False,1
617,Phoma,Miner,Phoma,1,False,0
1676,Cercospora,Cercospora,Rust,6,False,0
813,Rust,Rust,Rust,4,False,1
725,Rust,Rust,Phoma,1,False,0
807,Miner,Miner,Phoma,4,False,0
1079,Rust,Healthy,Rust,3,False,0
907,Miner,Miner,Miner,2,False,1
285,Phoma,Phoma,Phoma,3,False,1
1045,Cercospora,Cercospora,Phoma,7,False,0
1746,Cercospora,Cercospora,Phoma,3,True,0
442,Phoma,Phoma,Phoma,1,False,1
1105,Healthy,Healthy,Healthy,0,False,1
1584,Rust,Rust,Rust,2,False,1
562,Cercospora,Rust,Cercospora,2,True,0
1302,Rust,Rust,Rust,15,False,1
523,Phoma,Phoma,Phoma,2,False,1
448,Phoma,Phoma,Phoma,7,False,1
1462,Cercospora,Rust,Phoma,7,True,0
1553,Cercospora,Cercospora,Phoma,2,False,0
1081,Healthy,Miner,Healthy,0,False,0
90,Rust,Rust,Rust,21,False,1
535,Cercospora,Cercospora,Cercospora,6,False,1
68,Miner,Miner,Phoma,4,True,0
640,Phoma,Phoma,Phoma,1,False,1
1635,Rust,Rust,Rust,7,False,1
1098,Miner,Miner,Miner,1,False,1
1386,Rust,Rust,Rust,4,False,1
1287,Rust,Rust,Rust,2,False,1
982,Healthy,Healthy,Healthy,0,False,1
501,Phoma,Phoma,Phoma,4,False,1
405,Phoma,Phoma,Phoma,3,False,1
350,Phoma,Phoma,Phoma,2,False,1
1238,Rust,Rust,Rust,4,True,1
1113,Miner,Miner,Phoma,1,False,0
875,Miner,Miner,Phoma,6,False,0
211,Healthy,Healthy,Healthy,0,False,1
318,Phoma,Phoma,Phoma,2,False,1
202,Healthy,Healthy,Healthy,0,False,1
708,Healthy,Healthy,Healthy,0,False,1
317,Phoma,Phoma,Phoma,1,False,1
963,Healthy,Healthy,Healthy,0,False,1
1224,Miner,Miner,Miner,2,False,1
964,Healthy,Healthy,Healthy,0,False,1
1616,Rust,Rust,Rust,13,False,1
783,Miner,Miner,Rust,7,True,0
141,Rust,Rust,Rust,20,True,1
524,Phoma,Phoma,Phoma,6,False,1
47,Miner,Miner,Phoma,2,False,0
528,Phoma,Phoma,Phoma,3,False,1
887,Miner,Miner,Miner,1,False,1
740,Healthy,Healthy,Healthy,0,False,1
632,Miner,Phoma,Phoma,1,False,1
218,Miner,Miner,Miner,1,False,1
491,Phoma,Phoma,Phoma,1,False,1
1272,Rust,Rust,Rust,1,False,1
1487,Miner,Cercospora,Rust,4,True,0
249,Phoma,Phoma,Phoma,1,False,1
281,Phoma,Phoma,Phoma,3,False,1
1716,Rust,Rust,Rust,13,True,1
1305,Miner,Miner,Phoma,2,False,0
37,Miner,Miner,Miner,4,True,1
327,Phoma,Phoma,Phoma,4,False,1
1265,Rust,Rust,Rust,26,False,1
1470,Rust,Rust,Rust,13,False,1
1162,Miner,Miner,Miner,3,True,1
1146,Miner,Miner,Miner,2,False,1
97,Rust,Rust,Rust,12,False,1
1742,Healthy,Healthy,Healthy,0,False,1
153,Rust,Rust,Rust,24,False,1
812,Rust,Rust,Rust,9,False,1
819,Miner,Miner,Miner,3,True,1
1461,Rust,Rust,Rust,8,True,1
1055,Miner,Miner,Phoma,1,False,0
326,Phoma,Phoma,Phoma,1,False,1
473,Phoma,Phoma,Phoma,2,False,1
1034,Rust,Rust,Rust,12,True,1
1436,Rust,Rust,Rust,10,False,1
591,Phoma,Phoma,Phoma,1,False,1
1710,Rust,Rust,Rust,12,False,1
1193,Healthy,Healthy,Healthy,0,False,1
308,Phoma,Phoma,Phoma,6,False,1
371,Phoma,Phoma,Phoma,3,False,1
1184,Healthy,Rust,Healthy,0,False,0
1010,Miner,Miner,Phoma,1,False,0
1328,Rust,Rust,Rust,8,False,1
362,Phoma,Phoma,Phoma,6,False,1
1687,Rust,Rust,Rust,4,False,1
344,Phoma,Phoma,Phoma,2,False,1
1093,Healthy,Healthy,Healthy,0,False,1
1609,Rust,Rust,Rust,7,False,1
1362,Miner,Miner,Phoma,2,False,0
53,Miner,Miner,Miner,4,False,1
1196,Healthy,Healthy,Healthy,0,False,1
1243,Rust,Rust,Rust,21,True,1
666,Phoma,Cercospora,Phoma,3,False,0
697,Miner,Miner,Rust,6,True,0
1594,Rust,Rust,Rust,3,False,1
424,Phoma,Phoma,Phoma,3,False,1
483,Phoma,Phoma,Phoma,1,False,1
1444,Cercospora,Rust,Miner,2,True,0
1207,Miner,Miner,Phoma,2,False,0
59,Miner,Miner,Miner,2,False,1
586,Rust,Healthy,Rust,6,False,0
1139,Miner,Miner,Phoma,1,False,0
155,Rust,Rust,Rust,8,False,1
741,Healthy,Healthy,Healthy,0,False,1
891,Healthy,Healthy,Healthy,0,False,1
1012,Miner,Miner,Phoma,3,False,0
238,Phoma,Phoma,Phoma,2,False,1
1343,Miner,Miner,Phoma,4,True,0
606,Rust,Miner,Rust,5,True,0
